"filename", "language", "C#", "JSON", "XML", "SQL", "Properties", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\asg_form.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\asg_form.MvcApplicationPartsAssemblyInfo.cs", "C#", 3, 0, 0, 0, 0, 10, 5, 18
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\asg_form.deps.json", "JSON", 0, 2216, 0, 0, 0, 0, 0, 2216
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\asg_form.xml", "XML", 0, 0, 599, 0, 0, 0, 1, 600
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\staticwebassets.build.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\staticwebassets.publish.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\staticwebassets\msbuild.build.asg_form.props", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\staticwebassets\msbuild.buildMultiTargeting.asg_form.props", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net7.0\staticwebassets\msbuild.buildTransitive.asg_form.props", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\0ebjrq2j.sql", "SQL", 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\1f3egytq.sql", "SQL", 0, 0, 0, 9, 0, 0, 5, 14
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\ASG后端.MvcApplicationPartsAssemblyInfo.cs", "C#", 3, 0, 0, 0, 0, 9, 5, 17
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\obj\Release\net8.0\ASG后端.deps.json", "JSON", 0, 2210, 0, 0, 0, 0, 0, 2210
